pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
76	a clock on a building with a large building in the background	a large clock on a building with a building in the background	0	NEUTRAL
77	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
78	a street sign on a pole in front of a tree	a street sign that says UNK UNK UNK	0	NEUTRAL
79	a stop sign is shown on a street corner	a stop sign is shown on a street corner	0	NEUTRAL
80	a bowl of fruit and a banana on a table	a banana and a cup of coffee on a table	0	NEUTRAL
81	a stop sign and a street sign on a pole	a stop sign and a street sign on a pole	0	NEUTRAL
82	a bus is driving down a city street	a bus is driving down a city street	0	NEUTRAL
83	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
84	a train traveling down a train track next to a building	a train traveling down a train track next to a building	0	NEUTRAL
85	a bus driving down a street next to a forest	a bus driving down a street next to a forest	0	NEUTRAL
86	a bus is driving down the street in the city	a bus is driving down the street in the city	0	NEUTRAL
87	a laptop computer sitting on top of a desk	a laptop computer sitting on top of a table	0	NEUTRAL
88	a traffic light sitting on the side of a road	a traffic light on a city street with a sky background	0	NEUTRAL
89	a teddy bear sitting on a table with a UNK	a teddy bear sitting on a table next to a christmas tree	0	NEUTRAL
90	a man is standing in front of a truck	a man is standing in front of a truck	0	NEUTRAL
91	an airplane is flying in the sky with its landing gear down	an airplane is flying in the sky with its landing gear down	0	NEUTRAL
92	a street sign on the side of the road	a red stop sign sitting on the side of a road	0	NEUTRAL
93	a large building with a clock on the front of it	a large building with a clock on the front of it	0	NEUTRAL
94	two street signs on a pole in front of a building	two street signs on a pole in front of a building	0	NEUTRAL
95	two hot dogs on a plate with a drink	two hot dogs on a plate with a drink	0	NEUTRAL
96	a donut sitting on top of a white plate	a piece of bread with a bite taken out of it	0	NEUTRAL
97	a white bus parked in front of a building	a white bus parked in front of a building	0	NEUTRAL
98	a stop sign is on the corner of a street	a stop sign is on the corner of a street	0	NEUTRAL
99	a group of people sitting around a laptop computer	a group of people sitting around a laptop computer	0	NEUTRAL
100	a refrigerator filled with lots of food and drinks	a refrigerator filled with lots of food and drinks	0	NEUTRAL
101	a man holding a tennis racquet on a tennis court	a man holding a tennis racquet on a tennis court	0	NEUTRAL
102	a train on a track near a building	a train that is sitting on the tracks	0	NEUTRAL
103	a man is holding a frisbee in his hand	a man is holding a frisbee in his hand	0	NEUTRAL
104	a person walking down a street with a stop sign	a man walking down a street next to a stop sign	0	NEUTRAL
105	a traffic light on a city street with a building in the background	a traffic light on a city street with a building in the background	0	NEUTRAL
106	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
107	a man riding a skateboard down a street	a man riding a skateboard down a street	0	NEUTRAL
108	a plate of food with meat and vegetables	a plate of food with meat and vegetables	0	NEUTRAL
109	a woman sitting on a bench with a cell phone	a woman sitting on a bench with a cell phone	0	NEUTRAL
110	a man in a suit and tie with a tie on	a man in a suit and tie with a tie on	0	NEUTRAL
111	a stop sign with a sticker on it	a stop sign with a sticker on it	0	NEUTRAL
112	a street sign on the corner of a street	a street sign on the corner of a street	0	NEUTRAL
113	a bus is parked on the side of the street	a bus is parked on the side of the street	0	NEUTRAL
114	a bus is parked on the side of the street	a train car is parked on the side of a train	0	NEUTRAL
115	a group of people standing on top of a snow covered slope	a group of people standing on top of a snow covered slope	0	NEUTRAL
116	an old refrigerator with a bunch of stickers on it	a refrigerator with a bunch of stickers on it	0	NEUTRAL
117	a white refrigerator freezer sitting inside of a kitchen	a white refrigerator freezer sitting inside of a kitchen	0	NEUTRAL
118	a white truck parked in a parking lot	a white truck parked in a parking lot	0	NEUTRAL
119	a white plate topped with a sandwich and a bowl of soup	a white plate topped with a sandwich and a bowl of soup	0	NEUTRAL
120	a street sign is on the side of the road	a street sign is on the side of the road	0	NEUTRAL
121	a group of people standing in front of a bus	a group of people standing in front of a bus	0	NEUTRAL
122	a bus is parked on the side of the street	a bus is parked on the side of the street	0	NEUTRAL
123	an airplane is flying in the sky with its landing gear down	an airplane is flying in the sky with its landing gear down	0	NEUTRAL
124	a bunch of carrots and a knife on a cutting board	a bunch of vegetables on a cutting board	0	NEUTRAL
125	a black cat is sitting on top of a microwave	a black cat is sitting on top of a microwave	0	NEUTRAL
126	a black and white photo of a man in a suit	a picture of a man in a suit and tie	0	NEUTRAL
127	a large elephant standing next to a fence	a large elephant standing next to a fence	0	NEUTRAL
128	a person holding a wii remote in their hand	a person holding a wii remote in their hand	0	NEUTRAL
129	a traffic light with a red light on it	a street light with a street sign on it	0	NEUTRAL
130	a street sign on a pole in a wooded area	a street sign on a pole in a wooded area	0	NEUTRAL
131	a red double decker bus parked in a parking lot	a red double decker bus parked in a parking lot	0	NEUTRAL
132	an airplane is flying in the sky with its landing gear down	an airplane is flying in the sky with its landing gear down	0	NEUTRAL
133	a birthday cake with a UNK on top	a birthday cake with a UNK on top	0	NEUTRAL
134	a kitchen with a refrigerator and a stove	a kitchen with a refrigerator and a table	0	NEUTRAL
135	a woman standing on a street corner with a cell phone	a woman standing on the side of a street	0	NEUTRAL
136	a birthday cake with a candle on a table	a birthday cake with a candle on a table	0	NEUTRAL
137	a clock on the wall of a room	a clock on the wall of a room	0	NEUTRAL
138	a red suitcase is sitting on the floor	a red suitcase is sitting on the floor	0	NEUTRAL
139	a man is walking down the street with a skateboard	a man walking down a street with a skateboard	0	NEUTRAL
140	a man walking down a street next to a traffic light	a street sign on the corner of a street	0	NEUTRAL
141	a young boy is cutting a cake with a knife	a group of children sitting at a table with a pizza	0	NEUTRAL
142	a baseball player holding a bat on a field	a baseball player holding a bat on a field	0	NEUTRAL
143	a sign that says UNK UNK on the side of it	a sign that is on the side of a pole	0	NEUTRAL
144	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
145	a group of people riding bikes down a street	a group of people riding bikes down a street	0	NEUTRAL
146	a man in a suit and tie is talking on a cell phone	a man in a suit and tie holding a cell phone	0	NEUTRAL
147	a man holding a banana in his hand	a man holding a banana in his hand	0	NEUTRAL
148	a city street filled with lots of traffic	a city street filled with lots of traffic	0	NEUTRAL
149	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
150	a man is playing tennis on a tennis court	a man is playing tennis on a tennis court	0	NEUTRAL
151	a person holding a cell phone in their hand	a person holding a cell phone in their hand	0	NEUTRAL
152	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
153	a red stop sign sitting on the side of a car	a red stop sign sitting on the side of a car	0	NEUTRAL
154	a white truck parked in front of a building	a white truck parked in front of a building	0	NEUTRAL
155	an airplane sitting on the tarmac at an airport	an airplane sitting on the tarmac at an airport	0	NEUTRAL
156	a yellow and black train is on the tracks	a passenger train that is pulling into a station	0	NEUTRAL
157	a birthday cake with a UNK on top	a birthday cake with a UNK on top	0	NEUTRAL
158	a bus is driving down the street in the city	a bus is driving down the street in the city	0	NEUTRAL
159	a group of bikes parked next to each other	a group of bikes parked next to each other	0	NEUTRAL
160	a black and white photo of a fire hydrant	a black and white photo of a fire hydrant	0	NEUTRAL
161	a man riding skis down a snow covered slope	a man riding skis down a snow covered slope	0	NEUTRAL
162	a tv sitting on top of a wooden table	a tv sitting on top of a wooden table	0	NEUTRAL
163	a surf board on the beach with a UNK on it	a pair of scissors on a table next to a UNK	0	NEUTRAL
164	an airplane is flying in the sky with its landing gear down	an airplane is flying in the sky with its landing gear down	0	NEUTRAL
165	a stop sign is on the side of the road	a stop sign is on the corner of a street	0	NEUTRAL
166	a double decker bus driving down the street	a red double decker bus driving down a street	0	NEUTRAL
167	a motorcycle parked in front of a building	a motorcycle parked in front of a building	0	NEUTRAL
168	a man and a woman standing on a tennis court	a man and a woman are playing tennis	0	NEUTRAL
169	a bunch of doughnuts are on a table	a bunch of doughnuts are on a table	0	NEUTRAL
170	a building with a sign on the side of it	a building with a sign on the side of it	0	NEUTRAL
171	a street sign on a pole in a wooded area	a street sign on a pole in a wooded area	0	NEUTRAL
172	a reflection of a bus in a rear view mirror	a reflection of a bus in a rear view mirror	0	NEUTRAL
173	a laptop computer sitting on top of a desk	a laptop computer sitting on top of a desk	0	NEUTRAL
174	a man riding a skateboard on a ramp	a man riding a skateboard on a ramp	0	NEUTRAL
175	a woman standing on a beach holding a surfboard	a woman standing on a beach holding a surfboard	0	NEUTRAL
176	a red stop sign sitting on the side of a road	a red stop sign sitting on the side of a road	0	NEUTRAL
177	a woman is standing next to a horse	a woman is standing next to a horse	0	NEUTRAL
178	a man riding a skateboard down a street	a man riding a skateboard down a street	0	NEUTRAL
179	a street sign is on the side of a building	a street sign is on the side of a building	0	NEUTRAL
180	a park bench sitting in the middle of a park	a street with a bench and a building	0	NEUTRAL
181	a close up of a clock on a wall	a close up of a clock on a wall	0	NEUTRAL
182	a bunch of stuffed animals sitting on a shelf	a bunch of stuffed animals sitting on a shelf	0	NEUTRAL
183	a traffic light on a pole on a city street	a traffic light on a pole on a city street	0	NEUTRAL
184	a large clock tower towering over a city	a clock tower in the middle of a city	0	NEUTRAL
185	a stop sign with a street sign on top of it	a red stop sign sitting on the side of a street	0	NEUTRAL
186	a group of people standing around a truck	a group of people standing around a truck	0	NEUTRAL
187	a street sign that says UNK UNK UNK	a street sign that says UNK UNK UNK	0	NEUTRAL
188	a stop sign and a street sign on a pole	a stop sign and a street sign on a pole	0	NEUTRAL
189	a man sitting at a table with a laptop	a man sitting at a table with a laptop	0	NEUTRAL
190	an old truck is parked in a parking lot	an old truck is parked in a parking lot	0	NEUTRAL
191	a bowl of food with a spoon in it	a plate of food with a fork and a spoon	0	NEUTRAL
192	a red and white train on the tracks	a red and white train on a track	0	NEUTRAL
193	a group of young men standing next to each other	a group of young men standing next to each other	0	NEUTRAL
194	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
195	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
196	a person holding a cell phone in their hand	a person holding a cell phone in their hand	0	NEUTRAL
197	a store with a lot of signs on it	a store with a lot of signs on it	0	NEUTRAL
198	a group of people riding motorcycles down a street	a group of people riding motorcycles down a street	0	NEUTRAL
199	an airplane is flying in the sky with its landing gear down	an airplane is flying in the sky with its landing gear down	0	NEUTRAL
200	a bus is parked on the side of the street	a city street filled with lots of traffic	0	NEUTRAL
201	a man is cutting a cake with a knife	a man is cutting a cake with a knife	0	NEUTRAL
202	a refrigerator with a lot of magnets on it	a refrigerator with a lot of magnets on it	0	NEUTRAL
203	a traffic light with a street sign on top of it	a traffic light with a street sign on top of it	0	NEUTRAL
204	a bunch of vegetables are on a table	a bunch of vegetables are on a table	0	NEUTRAL
205	a person is holding a pizza in a box	a person is holding a pizza in a box	0	NEUTRAL
206	a white toilet sitting in a bathroom next to a wall	a white toilet sitting in a bathroom next to a wall	0	NEUTRAL
207	a small blue and white boat on a beach	a blue and white plane on a beach	0	NEUTRAL
208	two parking meters are on the side of the street	two parking meters are on the side of the street	0	NEUTRAL
209	a person sitting at a table with a laptop	a person sitting at a table with a laptop	0	NEUTRAL
210	a large jetliner sitting on top of an airport runway	a large passenger jet sitting on top of an airport runway	0	NEUTRAL
211	a table topped with lots of different types of vegetables	a table topped with lots of different types of vegetables	0	NEUTRAL
212	a pair of scissors on a wooden table	a pair of scissors on a wooden table	0	NEUTRAL
213	a box filled with donuts and a cup of coffee	a box filled with donuts and other donuts	0	NEUTRAL
214	a parking meter on the side of the road	a parking meter on the side of the road	0	NEUTRAL
215	a laptop computer sitting on top of a table	a laptop computer sitting on top of a table	0	NEUTRAL
216	a man standing on top of a street sign	a man standing on the side of a street	0	NEUTRAL
217	a train on a train track at a train station	a train on a train track near a platform	0	NEUTRAL
218	a man standing next to a sign on a street	a man standing next to a stop sign	0	NEUTRAL
219	a red fire hydrant in front of a building	a red fire hydrant in front of a building	0	NEUTRAL
220	a group of people standing around a plane	a group of people standing around a plane	0	NEUTRAL
221	a red motorcycle parked on the side of a street	a red motorcycle parked on the side of a street	0	NEUTRAL
222	two giraffes are standing next to each other	two giraffes are standing next to each other	0	NEUTRAL
223	a stop sign on the side of the road	a stop sign on the side of the road	0	NEUTRAL
224	a bus is parked on the side of the road	a bus is parked on the side of the road	0	NEUTRAL
225	a group of people standing around a plane	a group of people standing around a plane	0	NEUTRAL
226	a woman is holding a teddy bear in a room	a woman is holding a teddy bear in a room	0	NEUTRAL
227	a man is playing tennis on a tennis court	a man is playing tennis on a tennis court	0	NEUTRAL
228	a stop sign with a sticker on it	a stop sign with a sticker on it	0	NEUTRAL
229	a street sign on a pole with a sky background	a street sign on a pole on a street	0	NEUTRAL
230	a man is riding a bike with a red bag	a man is riding a bike with a red bag	0	NEUTRAL
231	a red and white bus parked in a parking lot	a red and white bus parked in a parking lot	0	NEUTRAL
232	a train station with a train on the tracks	a train station with a train on the tracks	0	NEUTRAL
233	a man riding a skateboard on a ramp	a man riding a skateboard on a ramp	0	NEUTRAL
234	a bus is driving down the street in a city	a bus is driving down the street in a city	0	NEUTRAL
235	a man riding a skateboard down a street	a man riding a skateboard down a street	0	NEUTRAL
236	a large passenger jet sitting on top of an airport runway	a large passenger jet sitting on top of an airport runway	0	NEUTRAL
237	a large building with a clock on the side of it	a clock on the side of a building	0	NEUTRAL
238	a large jetliner sitting on top of an airport tarmac	a large jetliner sitting on top of an airport tarmac	0	NEUTRAL
239	a woman is holding a hot dog in her hand	a woman is holding a hot dog in her hand	0	NEUTRAL
240	a large jetliner sitting on top of an airport runway	a large jetliner sitting on top of an airport runway	0	NEUTRAL
241	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
242	a large jetliner sitting on top of an airport tarmac	a large jetliner sitting on top of an airport tarmac	0	NEUTRAL
243	a woman sitting in a chair in a room	a woman sitting in a chair in a room	0	NEUTRAL
244	a woman standing in a parking lot with luggage	a woman standing in a parking lot with luggage	0	NEUTRAL
245	a table topped with a pizza and a glass of wine	a table topped with a pizza and a glass of wine	0	NEUTRAL
246	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
247	a group of people sitting around a table with a pizza	a group of people sitting around a table with food	0	NEUTRAL
248	a red double decker bus driving down a street	a red double decker bus driving down a street	0	NEUTRAL
249	a blender is on a counter next to a blender	a blender is on a counter next to a blender	0	NEUTRAL
250	a man and a woman sitting at a table with food	a man and a woman sitting at a table with food	0	NEUTRAL
251	a person riding a horse in a field	a person riding a horse in a field	0	NEUTRAL
252	a red stop sign sitting on the side of a building	a red stop sign sitting on the side of a building	0	NEUTRAL
253	a group of people standing around a tv	a group of people standing around a tv	0	NEUTRAL
254	a bag with a bunch of items on top of it	a bag with a bunch of items on top of it	0	NEUTRAL
255	a man riding a skateboard down a street	a man riding a skateboard down a street	0	NEUTRAL
256	a stop sign on the corner of a street	a stop sign on the corner of a street	0	NEUTRAL
257	a white truck parked in front of a building	a white truck driving down a street next to a car	0	NEUTRAL
258	a street sign on the corner of a street	a street sign on the side of the road	0	NEUTRAL
259	a city street filled with lots of traffic	a car driving down a street with a large building in the background	0	NEUTRAL
260	a double decker bus driving down the street	a double decker bus driving down the street	0	NEUTRAL
261	a dog laying on the floor with a stuffed animal	a dog laying on the floor with a stuffed animal	0	NEUTRAL
262	a group of people standing around a bus	a group of people standing around a bus	0	NEUTRAL
263	a bus driving down a street next to a building	a bus driving down a street next to a building	0	NEUTRAL
264	a man riding a bike with a basket on it	a man riding a bike with a basket on it	0	NEUTRAL
265	a red double decker bus driving down a street	a red double decker bus driving down a street	0	NEUTRAL
266	a motorcycle parked on the side of a road	a motorcycle parked on the side of a road	0	NEUTRAL
267	a group of people riding horses down a street	a group of people riding horses down a street	0	NEUTRAL
268	a laptop computer sitting on top of a wooden desk	a laptop computer sitting on top of a wooden desk	0	NEUTRAL
269	a man standing in front of a bus	a man standing in front of a bus	0	NEUTRAL
270	a room with a bed and a table	a room with a bed and a table	0	NEUTRAL
271	a pizza sitting on top of a white plate	a pizza sitting on top of a white plate	0	NEUTRAL
272	a teddy bear sitting on top of a table	a teddy bear sitting on top of a table	0	NEUTRAL
273	a book shelf filled with books and a clock	a book shelf filled with books and a clock	0	NEUTRAL
274	a group of young people playing a game of frisbee	a group of young people playing a game of frisbee	0	NEUTRAL
275	a large airplane sitting on top of an airport tarmac	a large airplane sitting on top of an airport tarmac	0	NEUTRAL
276	a small boat in a large body of water	a small boat in a large body of water	0	NEUTRAL
277	a street sign on the side of the street	a street sign on a pole on a city street	0	NEUTRAL
278	an airplane is parked on a runway in the sun	an airplane is parked on the runway at the airport	0	NEUTRAL
279	an airplane is flying in the air with a sky background	an airplane is flying in the air with a sky background	0	NEUTRAL
280	a white plate topped with meat and vegetables	a white plate topped with meat and vegetables	0	NEUTRAL
281	a little girl is standing on a skateboard	a little girl wearing a helmet and holding a skateboard	0	NEUTRAL
282	a red and white bus parked in front of a building	a red and white bus parked in front of a building	0	NEUTRAL
283	a street sign on a pole in a wooded area	a street sign on a pole in a wooded area	0	NEUTRAL
284	a large jetliner sitting on top of an airport runway	a large jetliner sitting on top of an airport runway	0	NEUTRAL
285	a man in a suit and tie standing in front of a building	a man in a suit and tie standing in front of a wall	0	NEUTRAL
286	a close up of a toaster oven on a counter	a close up of a toaster oven on a counter	0	NEUTRAL
287	a man standing in front of a train	a man standing in front of a train	0	NEUTRAL
288	a city street filled with lots of traffic	a city street filled with lots of traffic	0	NEUTRAL
289	a teddy bear sitting on a bed with a stuffed animal	a teddy bear sitting on a bed in a room	0	NEUTRAL
290	a computer keyboard sitting on top of a desk	a computer keyboard sitting on top of a desk	0	NEUTRAL
291	a group of people standing around a table with a cake	a group of people standing around a table with a cake	0	NEUTRAL
292	a red truck is driving down the street	a red truck driving down a street next to tall buildings	0	NEUTRAL
293	a bus is parked in a parking lot	a bus is parked on the side of the street	0	NEUTRAL
294	a truck is parked in a parking lot	a truck is parked in a parking lot	0	NEUTRAL
295	a large jetliner sitting on top of an airport tarmac	a large jetliner sitting on top of an airport tarmac	0	NEUTRAL
296	a city street with a bus stop and a street sign	a city street with a street sign on it	0	NEUTRAL
297	a man is playing a video game in a living room	a man standing in a room holding a wii remote	0	NEUTRAL
298	a vase filled with flowers on top of a table	a vase with flowers in it sitting on a table	0	NEUTRAL
299	an airplane is flying in the sky with its landing gear down	an airplane is flying in the sky with its landing gear down	0	NEUTRAL
300	a bike parked in front of a building	a bike parked in front of a building	0	NEUTRAL
301	a bathroom with a toilet and a sink	a bathroom with a toilet and a sink	0	NEUTRAL
302	a sign that says UNK UNK on the side of it	a sign that says UNK UNK on a pole	0	NEUTRAL
303	a man is doing a trick on a skateboard	a man is doing a trick on a skateboard	0	NEUTRAL
304	a woman standing on a sidewalk with a cell phone	a woman standing on a sidewalk with a cell phone	0	NEUTRAL
305	a street sign on a pole in a wooded area	a street sign on a pole on a street	0	NEUTRAL
306	a pair of scissors and a pair of scissors	a bunch of ripe bananas sitting on a table	0	NEUTRAL
307	a car driving down a street with a traffic light	a car is driving down the street with a car in the background	0	NEUTRAL
308	a man is playing tennis on a tennis court	a man is playing tennis on a tennis court	0	NEUTRAL
309	a man riding a skateboard up the side of a ramp	a man riding a skateboard up the side of a ramp	0	NEUTRAL
310	a group of people standing around a luggage carousel	a group of people standing around a luggage carousel	0	NEUTRAL
311	a man and a woman are posing for a picture	a man and a woman are posing for a picture	0	NEUTRAL
312	a red stop sign sitting on the side of a road	a red stop sign sitting on the side of a road	0	NEUTRAL
313	a person holding a cell phone in their hand	a person holding a cell phone in their hand	0	NEUTRAL
314	a woman is petting a horse in a corral	a woman standing next to a brown horse	0	NEUTRAL
315	a school bus is parked in a field	a red and white bus parked in a field	0	NEUTRAL
316	a motorcycle parked on a beach next to the ocean	a motorcycle parked on a beach next to the ocean	0	NEUTRAL
317	a man is riding a bike in the street	a man riding a bike with a surfboard on it	0	NEUTRAL
318	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
319	a tennis player in a blue shirt is playing tennis	a man is playing tennis on a tennis court	0	NEUTRAL
320	an airplane is parked on the runway at the airport	an airplane is parked on the runway at the airport	0	NEUTRAL
321	a red motorcycle parked on the side of a road	a red motorcycle parked on the side of a road	0	NEUTRAL
322	a traffic light with a street sign on top of it	a traffic light with a street sign on top of it	0	NEUTRAL
323	a black bear walking on a road next to a car	a black bear walking on a road next to a car	0	NEUTRAL
324	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
325	a laptop computer sitting on top of a wooden table	a laptop computer sitting on top of a wooden table	0	NEUTRAL
326	a kitchen with a table and chairs and a table	a table with a lot of food on it	0	NEUTRAL
327	a man is eating a donut with a bite out of it	a man is eating a donut with a bite out of it	0	NEUTRAL
328	a group of people walking down a street	a group of people walking down a street	0	NEUTRAL
329	a man standing in front of a bus	a man standing in front of a bus	0	NEUTRAL
330	a traffic light sitting on the side of a road	a traffic light sitting on the side of a road	0	NEUTRAL
331	a man holding a wii remote in his hand	a person holding a remote control in front of a tv	0	NEUTRAL
332	a bus driving down a street next to a building	a bus driving down a street next to a building	0	NEUTRAL
333	a giraffe is standing in front of a fence	a giraffe is standing in front of a group of people	0	NEUTRAL
334	a bus is driving down the street in a city	a bus is driving down the street in a city	0	NEUTRAL
335	a pot of food on a stove top	a pot of food is sitting on a stove	0	NEUTRAL
336	a street sign in front of a building	a street sign on a pole on a city street	0	NEUTRAL
337	an airplane sitting on top of a runway	an airplane is parked on a runway in a field	0	NEUTRAL
338	a close up of a keyboard on a desk	a close up of a keyboard on a desk	0	NEUTRAL
339	a red stop sign sitting on the side of a street	a red stop sign sitting on the side of a street	0	NEUTRAL
340	two men are playing a game of frisbee	two men are playing a game of frisbee	0	NEUTRAL
